Time Start,Time End,Total Present,Current Net Name,Total Excused,Net Control
2024-12-14 18:00:05,2024-12-14 18:25:53,0,Sample Open Net,0,NL7PA
KL7AA,ANCHORAGE,JOHN,Absent,,,,0  
KL2RR,FAIRBANKS,MIKE,Absent,,,,0  
KL7CQ,JUNEAU,DAVID,Absent,,,,0  
KL1DX,VALDEZ,PAUL,Absent,,,,0  
KL4WA,SITKA,DANIEL,Absent,,,,0  
KL7KC,KETCHIKAN,STEVE,Absent,,,,0  
KL2DL,KODIAK,KEN,Absent,,,,0  
KL3JJ,NOME,GEORGE,Absent,,,,0  
KL7GN,BETHEL,TIM,Absent,,,,0  
KL5XQ,SEWARD,ROBERT,Absent,,,,0  
KL4TT,WASILLA,MARK,Absent,,,,0  
KL7YL,PALMER,LARRY,Absent,,,,0  
KL2SP,KENAI,JAMES,Absent,,,,0  
KL4CX,KOTZEBUE,RICHARD,Absent,,,,0  
KL5WU,WRANGELL,DENNIS,Absent,,,,0  
KL2HM,HOONAH,MICHAEL,Absent,,,,0  
KL3BC,UNALASKA,JEFF,Absent,,,,0  
KL5QP,DILLINGHAM,RAY,Absent,,,,0  
KL7RT,HOMER,CHUCK,Absent,,,,0  
KL2DW,HAINES,FRED,Absent,,,,0  
K1JT,PRINCETON,JOSEPH,Absent,,,,0  
W1AW,NEWINGTON,HIRAM,Absent,,,,0  
K3LR,WEST MIDDLESEX,TIM,Absent,,,,0  
W6YX,STANFORD,STANFORD,Absent,,,,0  
K4VV,ARLINGTON,KEN,Absent,,,,0  
N5DX,SHERWOOD,CLAYTON,Absent,,,,0  
W7RN,RENO,TONOPAH,Absent,,,,0  
K9CT,TRIVOLI,CRAIG,Absent,,,,0  
W0AIH,EAU CLAIRE,PAUL,Absent,,,,0  
N2IC,LOS ALAMOS,STEVE,Absent,,,,0  
K6NA,ESCONDIDO,GLENN,Absent,,,,0  
W3LPL,GLENWOOD,FRANK,Absent,,,,0  
K1ZZ,NEWINGTON,DAVID,Absent,,,,0  
N3BB,AUSTIN,JAMES,Absent,,,,0  
K5ZD,WESTBOROUGH,RANDY,Absent,,,,0  
W2RE,NEW WINDSOR,RAY,Absent,,,,0  
K0RF,GOLDEN,CHUCK,Absent,,,,0  
N6RO,OAKLEY,KEN,Absent,,,,0  
K1AR,NASHUA,JOHN,Absent,,,,0  
W7WA,SEATTLE,DAN,Absent,,,,0  
K3ZO,TEMPLE HILLS,FREDERICK,Absent,,,,0  
N4PN,MACON,PAUL,Absent,,,,0  
K6LL,YUMA,DAVID,Absent,,,,0  
W9RE,INDIANAPOLIS,MICHAEL,Absent,,,,0  
K7RL,SEATTLE,MITCH,Absent,,,,0  
N2NT,STOCKHOLM,ANDY,Absent,,,,0  
K1KI,SUFFIELD,THOMAS,Absent,,,,0  
W4PA,KNOXVILLE,SCOTT,Absent,,,,0  
K5TR,AUSTIN,GEORGE,Absent,,,,0  
